director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Michael Barnett,Bill Nye,Jeffrey Kluger,Neil deGrasse Tyson,Documentary,the mars generation,Bill Nye Jeffrey Kluger Neil deGrasse Tyson Michael Barnett Documentary
Gábor Herendi Buda Gulyás,Ervin Nagy,Petrik Andrea,Tibor Gáspár,Romance Adventure Drama History,kincsem,Ervin Nagy Petrik Andrea Tibor Gáspár Gábor Herendi Buda Gulyás Romance Adventure Drama History
André Erkau,Kostja Ullmann,Marleen Lohse,Wotan Wilke Möhring,Comedy,happy burnout,Kostja Ullmann Marleen Lohse Wotan Wilke Möhring André Erkau Comedy
Sergey Ginzburg,Konstantin Kryukov,Михаил Пореченков,Aglaya Shilovskaya,Horror Action Fantasy Thriller,vamps,Konstantin Kryukov Михаил Пореченков Aglaya Shilovskaya Sergey Ginzburg Horror Action Fantasy Thriller
Bob Schultz Robert Conway,Whitney Moore,William 'Bill' Connor,Owen Conway,Drama Horror Thriller,breakdown lane,Whitney Moore William 'Bill' Connor Owen Conway Bob Schultz Robert Conway Drama Horror Thriller
Guillaume Canet,Guillaume Canet,Marion Cotillard,Gilles Lellouche,Comedy Music,rock'n roll,Guillaume Canet Marion Cotillard Gilles Lellouche Guillaume Canet Comedy Music
Brian Goodman,Jonathan Rhys Meyers,Antonio Banderas,Piper Perabo,Thriller,black butterfly,Jonathan Rhys Meyers Antonio Banderas Piper Perabo Brian Goodman Thriller
Patrick O'Dell,Steve Rocco,Jeff Tremaine,Johnny Knoxville,Documentary,dumb: the story of big brother magazine,Steve Rocco Jeff Tremaine Johnny Knoxville Patrick O'Dell Documentary
Emer Reynolds,Frank Drake,John Casani,Lawrence Krauss,Documentary,the farthest,Frank Drake John Casani Lawrence Krauss Emer Reynolds Documentary
Toby Genkel Reza Memari,Tilman Döbler,Cooper Kelly Kramer,Shannon Conley,Adventure Animation,a stork's journey,Tilman Döbler Cooper Kelly Kramer Shannon Conley Toby Genkel Reza Memari Adventure Animation
Nick Hamm,Timothy Spall,Colm Meaney,Freddie Highmore,Drama,the journey,Timothy Spall Colm Meaney Freddie Highmore Nick Hamm Drama
Roger Donaldson,Dwayne Cameron,Mario Andretti,Alastair Caldwell,Documentary,mclaren,Dwayne Cameron Mario Andretti Alastair Caldwell Roger Donaldson Documentary
Blake Freeman,Danny Trejo,Casper Van Dien,Mindy Robinson,Comedy Action Adventure,all about the money,Danny Trejo Casper Van Dien Mindy Robinson Blake Freeman Comedy Action Adventure
Gerard Barrett,Chloë Grace Moretz,Thomas Mann,Richard Armitage,Drama,brain on fire,Chloë Grace Moretz Thomas Mann Richard Armitage Gerard Barrett Drama
Kim Joon-Sung,Go Soo,Sol Kyung-gu,Park Yoo-chun,Sci-Fi Thriller,lucid dream,Go Soo Sol Kyung-gu Park Yoo-chun Kim Joon-Sung Sci-Fi Thriller
Jason Bourque,Sean Bean,Mary McCormack,Joel David Moore,Thriller,drone,Sean Bean Mary McCormack Joel David Moore Jason Bourque Thriller
Patrik Syversen,Marte Germaine Christensen,Patrick Stewart,Tom Rhys Harries,Adventure,dragonheart: battle for the heartfire,Marte Germaine Christensen Patrick Stewart Tom Rhys Harries Patrik Syversen Adventure
Nicole Jones-Dion,Anna Harr,Mark Grossman,Phyllis Spielman,Adventure Sci-Fi,stasis,Anna Harr Mark Grossman Phyllis Spielman Nicole Jones-Dion Adventure Sci-Fi
Anita Barbosa,Isis Valverde,Gil Coelho,Joaquim Lopes,Romance,amor.com,Isis Valverde Gil Coelho Joaquim Lopes Anita Barbosa Romance
Frank Lotito,Roni Akurati,Brighton Sharbino,Jason Lee,Comedy Family Drama,growing up smith,Roni Akurati Brighton Sharbino Jason Lee Frank Lotito Comedy Family Drama
Deb Shoval,Lola Kirke,Breeda Wool,Dale Soules,Drama,awol,Lola Kirke Breeda Wool Dale Soules Deb Shoval Drama
Oren Uziel,Rainn Wilson,Benjamin Walker,John Michael Higgins,Thriller Crime Drama Mystery,shimmer lake,Rainn Wilson Benjamin Walker John Michael Higgins Oren Uziel Thriller Crime Drama Mystery
Alan Mak Anthony Pun,Huang Xuan,Duan Yihong,Lang Yueting,Action Crime Thriller,extraordinary mission,Huang Xuan Duan Yihong Lang Yueting Alan Mak Anthony Pun Action Crime Thriller
Tommy Wirkola,Noomi Rapace,Marwan Kenzari,Christian Rubeck,Sci-Fi Thriller,what happened to monday,Noomi Rapace Marwan Kenzari Christian Rubeck Tommy Wirkola Sci-Fi Thriller
Ben Stassen Jérémie Degruson,Tom Beck,Cinda Adams,Bob Barlen,Animation Comedy,the son of bigfoot,Tom Beck Cinda Adams Bob Barlen Ben Stassen Jérémie Degruson Animation Comedy
Kentaro Hagiwara,Masataka Kubota,Yu Aoi,Fumika Shimizu,Action Drama Horror Thriller,tokyo ghoul,Masataka Kubota Yu Aoi Fumika Shimizu Kentaro Hagiwara Action Drama Horror Thriller
Ildikó Enyedi,Alexandra Borbély,Morcsányi Géza,Zoltán Schneider,Drama Romance,on body and soul,Alexandra Borbély Morcsányi Géza Zoltán Schneider Ildikó Enyedi Drama Romance
David Leitch,Charlize Theron,James McAvoy,Sofia Boutella,Action Thriller,atomic blonde,Charlize Theron James McAvoy Sofia Boutella David Leitch Action Thriller
Gordon Chan,Vincent Zhao,Sammo Hung,Regina Wan,Action History,god of war,Vincent Zhao Sammo Hung Regina Wan Gordon Chan Action History
Tommy Stovall,James Martinez,Trevor Sterling Stovall,Michael Chieffo,Drama Horror Mystery Thriller,aaron's blood,James Martinez Trevor Sterling Stovall Michael Chieffo Tommy Stovall Drama Horror Mystery Thriller
Kim Tae-yoon,Jung Woo,Kang Ha-Neul,Kim Hae-sook,Drama,new trial,Jung Woo Kang Ha-Neul Kim Hae-sook Kim Tae-yoon Drama
David Leveaux,Lily James,Jai Courtney,Eddie Marsan,Drama,the exception,Lily James Jai Courtney Eddie Marsan David Leveaux Drama
Jay Baruchel,Seann William Scott,Alison Pill,Marc-André Grondin,Comedy,goon: last of the enforcers,Seann William Scott Alison Pill Marc-André Grondin Jay Baruchel Comedy
Christopher Nolan,Fionn Whitehead,Tom Glynn-Carney,Jack Lowden,Action Drama History Thriller War,dunkirk,Fionn Whitehead Tom Glynn-Carney Jack Lowden Christopher Nolan Action Drama History Thriller War
Bharathan,Vijay,Keerthi Suresh,Jagapati Babu,Action,bairavaa,Vijay Keerthi Suresh Jagapati Babu Bharathan Action
Alberto G. Rodriguez,Eric Roberts,Leila Almas,Jaime Zevallos,Thriller Drama Mystery,the summoning,Eric Roberts Leila Almas Jaime Zevallos Alberto G. Rodriguez Thriller Drama Mystery
Mark Cullen,Bruce Willis,Jason Momoa,John Goodman,Action Comedy Thriller,once upon a time in venice,Bruce Willis Jason Momoa John Goodman Mark Cullen Action Comedy Thriller
Carlo Guillermo Proto,Denis Harting,Peggy Roux,Lauviah Harting,Documentary,resurrecting hassan,Denis Harting Peggy Roux Lauviah Harting Carlo Guillermo Proto Documentary
Bonni Cohen Jon Shenk,Al Gore,Barack Obama,Donald Trump,Documentary,an inconvenient sequel: truth to power,Al Gore Barack Obama Donald Trump Bonni Cohen Jon Shenk Documentary
Neill Blomkamp,Sigourney Weaver,Eugene Khumbanyiwa,Robert Hobbs,Action Sci-Fi,rakka,Sigourney Weaver Eugene Khumbanyiwa Robert Hobbs Neill Blomkamp Action Sci-Fi
Thomas Q. Napper,Johnny Harris,Ian McShane,Ray Winstone,Action Drama,jawbone,Johnny Harris Ian McShane Ray Winstone Thomas Q. Napper Action Drama
Sung-hoon Kim,Hyun Bin,Yoo Hae-jin,Kim Joo-hyuk,Action Drama Comedy,confidential assignment,Hyun Bin Yoo Hae-jin Kim Joo-hyuk Sung-hoon Kim Action Drama Comedy
Alex Merkin,Dolph Lundgren,Denise Richards,Greer Grammer,Action Thriller,altitude,Dolph Lundgren Denise Richards Greer Grammer Alex Merkin Action Thriller
David Firth,David Firth,Carla Simpson,Christian Webb,Animation Comedy Sci-Fi,cream,David Firth Carla Simpson Christian Webb David Firth Animation Comedy Sci-Fi
Hatem Khraiche,Clara Lago,Belén Rueda,Álex González,Drama Sci-Fi Romance,orbiter 9,Clara Lago Belén Rueda Álex González Hatem Khraiche Drama Sci-Fi Romance
John Scheinfeld,Denzel Washington,Common,Bill Clinton,Documentary,chasing trane,Denzel Washington Common Bill Clinton John Scheinfeld Documentary
